"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
22954,"Gish-e-chashmdorosht",,"Persian","IR","Iran",47613
22954,"Goggle-eye",,"English","BS","Bahamas",27431
22954,"Goggle-eye",,"English","GY","Guyana",26235
22954,"Goggle-eye",,"English","JM","Jamaica",26235
22954,"Goggle-eye",,"English","US","USA",35205
22954,"Goggle-eyed scad",,"English","GP","Guadeloupe",35205
22954,"Goggle-eyed scad",,"English","MQ","Martinique",35205
22954,"Goggle-eyed scad",,"English","PR","Puerto Rico",26235
22954,"Goggle-eyed scad",,"English","US","USA",35205
22954,"Goggler",,"English","PR","Puerto Rico",26235
22954,"Grootoog-skad",,"Afrikaans","ZA","South Africa",3197
22954,"Gros coulirou",,"French","FR","France",50675
22954,"Guarajuba",,"Portuguese","BR","Brazil",38265
22954,"Guma-a",,"Visayan","PH","Philippines",58652
22954,"Gurapau",,"Portuguese","BR","Brazil",42063
22954,"Gurapu",,"Portuguese","BR","Brazil",38265
22954,"Gutlob",,"Visayan","PH","Philippines",2857
22954,"Gwenzenze",,"Portuguese","MZ","Mozambique",5284
22954,"Haguma-a",,"Visayan","PH","Philippines",2857
22954,"Hahalalu",,"Hawaiian",,"Hawaii",583
22954,"Haima",,"Arabic","OM","Oman",6365
22954,"Halalu",,"Hawaiian",,"Hawaii",4887
22954,"Hanale",,"Komoro","KM","Comoros",11888
22954,"Hiting",,"Chamorro","MP","N Marianas",53190
22954,"Horse mackerel",,"English","IN","India",47699
22954,"Horse-eye jack",,"English","AG","Antigua Barb",35205
22954,"Jack",,"English","VI","US Virgin Is",26180
22954,"Jackfish",,"English","AG","Antigua Barb",35205
22954,"Jalu-jalu",,"Malay","MY","Malaysia",85449
22954,"Jamah",,"Malay","MY","Malaysia",85449
22954,"Jay",,"Wolof","SN","Senegal",30556
22954,"Jiguagua",,"Spanish","MX","Mexico",3277
22954,"Juama",,"Kumak","NC","New Caledonia",6026
22954,"Jurel de ojo grande",,"Spanish","PE","Peru",5530
22954,"Jurel ojón",,"Spanish","PR","Puerto Rico",26235
22954,"Jurelito ojo grande",,"Spanish","EC","Galapagos Is",5227
22954,"Karaba bangada",,"Gujarati","IN","India",46402
22954,"Karaba bangada",,"Marathi","IN","India",46402
22954,"Karkata-bangada",,"Marathi","IN","India",6867
22954,"Kibua-macho",,"Swahili","TZ","Tanzania",2871
22954,"Komene",,"Tuamotuan",,"Tuamoto Is",12415
22954,"Koulirou",,"Creole, French","MQ","Martinique",35105
22954,"Kpintomessis ou chiyi",,"Fon GBE","BJ","Benin",6315
22954,"Kuriles",,"Pangasinan","PH","Philippines",2857
22954,"Kutob",,"Cebuano","PH","Philippines",31411
22954,"Labiao",,"Kuyunon","PH","Philippines",2857
22954,"Lampudok (Brunei)",,"Malay","MY","Malaysia",85449
22954,"Lecek",,"Malay","MY","Malaysia",85449
22954,"Lolong",,"Malay","MY","Malaysia",5756
22954,"Lolong jalur",,"Malay","MY","Malaysia",85449
22954,"Lolong mata besar ",,"Malay","MY","Malaysia",85449
22954,"Lolong merah",,"Malay","MY","Malaysia",85449
22954,"Lumahan",,"Maranao/Samal/Tao Sug","PH","Philippines",2857
22954,"Macho-gololi",,"Swahili","TZ","Tanzania",2871
22954,"Mackerel",,"Creole, French","MU","Mauritius",11888
22954,"Mahalokybevara",,"Malagasy","MG","Madagascar",11888
22954,"Makro gro lizye",,"Creole, French","SC","Seychelles",11888
22954,"Mapuao",,"Tagalog","PH","Philippines",2857
22954,"Mapuaw",,"Tagalog","PH","Philippines",58652
22954,"Maquereau gros veux",,"French","NC","New Caledonia",6026
22954,"Marot",,"Hiligaynon","PH","Philippines",31411
22954,"Marot",,"Visayan","PH","Philippines",5730
22954,"Marsbanker",,"Dutch","AN","NethAntilles",35205
22954,"Masbangu",,"Papiamento","AN","NethAntilles",35205
22954,"Mata besar",,"Malay","MY","Malaysia",4789
