"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
23106,"CU","ISO2Alpha","native"
23106,"CV","ISO2Alpha","native"
23106,"CX","ISO2Alpha","native"
23106,"DM","ISO2Alpha","native"
23106,"DO","ISO2Alpha","native"
23106,"EC","ISO2Alpha","native"
23106,"EG","ISO2Alpha","native"
23106,"ER","ISO2Alpha","native"
23106,"FM","ISO2Alpha","native"
23106,"GD","ISO2Alpha","native"
23106,"GF","ISO2Alpha","native"
23106,"GP","ISO2Alpha","native"
23106,"GT","ISO2Alpha","native"
23106,"GU","ISO2Alpha","native"
23106,"GY","ISO2Alpha","native"
23106,"HN","ISO2Alpha","native"
23106,"HT","ISO2Alpha","native"
23106,"ID","ISO2Alpha","native"
23106,"IN","ISO2Alpha","native"
23106,"JM","ISO2Alpha","native"
23106,"JO","ISO2Alpha","native"
23106,"JP","ISO2Alpha","native"
23106,"KN","ISO2Alpha","native"
23106,"KR","ISO2Alpha","native"
23106,"KY","ISO2Alpha","native"
23106,"LC","ISO2Alpha","native"
23106,"LK","ISO2Alpha","native"
23106,"MQ","ISO2Alpha","native"
23106,"MS","ISO2Alpha","native"
23106,"MU","ISO2Alpha","native"
23106,"MV","ISO2Alpha","native"
23106,"MX","ISO2Alpha","native"
23106,"MY","ISO2Alpha","native"
23106,"MZ","ISO2Alpha","questionable"
23106,"NI","ISO2Alpha","native"
23106,"OM","ISO2Alpha","native"
23106,"PA","ISO2Alpha","native"
23106,"PF","ISO2Alpha","native"
23106,"PG","ISO2Alpha","native"
23106,"PH","ISO2Alpha","native"
23106,"PR","ISO2Alpha","native"
23106,"PW","ISO2Alpha","native"
23106,"RE","ISO2Alpha","native"
23106,"SA","ISO2Alpha","native"
23106,"SC","ISO2Alpha","native"
23106,"SD","ISO2Alpha","native"
23106,"SH","ISO2Alpha","native"
23106,"SO","ISO2Alpha","native"
23106,"SR","ISO2Alpha","native"
23106,"ST","ISO2Alpha","native"
23106,"TO","ISO2Alpha","native"
23106,"TT","ISO2Alpha","native"
23106,"TW","ISO2Alpha","native"
23106,"TZ","ISO2Alpha","native"
23106,"US","ISO2Alpha","native"
23106,"VC","ISO2Alpha","native"
23106,"VE","ISO2Alpha","native"
23106,"VG","ISO2Alpha","native"
23106,"VI","ISO2Alpha","native"
23106,"WS","ISO2Alpha","native"
23106,"YE","ISO2Alpha","native"
23106,"ZA","ISO2Alpha","native"
23107,"AG","ISO2Alpha","native"
23107,"AI","ISO2Alpha","native"
23107,"AO","ISO2Alpha","native"
23107,"AW","ISO2Alpha","native"
23107,"BB","ISO2Alpha","native"
23107,"BJ","ISO2Alpha","native"
23107,"BM","ISO2Alpha","native"
23107,"BR","ISO2Alpha","native"
23107,"BS","ISO2Alpha","native"
23107,"BZ","ISO2Alpha","native"
23107,"CA","ISO2Alpha","native"
23107,"CD","ISO2Alpha","native"
23107,"CG","ISO2Alpha","native"
23107,"CI","ISO2Alpha","native"
23107,"CM","ISO2Alpha","native"
23107,"CO","ISO2Alpha","native"
23107,"CR","ISO2Alpha","native"
23107,"CU","ISO2Alpha","native"
23107,"CV","ISO2Alpha","native"
23107,"DM","ISO2Alpha","native"
23107,"DO","ISO2Alpha","native"
23107,"EH","ISO2Alpha","native"
23107,"GA","ISO2Alpha","native"
23107,"GD","ISO2Alpha","native"
23107,"GF","ISO2Alpha","native"
23107,"GH","ISO2Alpha","native"
23107,"GM","ISO2Alpha","native"
23107,"GN","ISO2Alpha","native"
23107,"GP","ISO2Alpha","native"
23107,"GQ","ISO2Alpha","native"
23107,"GT","ISO2Alpha","native"
23107,"GW","ISO2Alpha","native"
23107,"GY","ISO2Alpha","native"
23107,"HN","ISO2Alpha","native"
23107,"HT","ISO2Alpha","native"
23107,"JM","ISO2Alpha","native"
23107,"KN","ISO2Alpha","native"
23107,"KY","ISO2Alpha","native"
23107,"LC","ISO2Alpha","native"
23107,"LR","ISO2Alpha","native"
23107,"MA","ISO2Alpha","native"
23107,"MQ","ISO2Alpha","native"
23107,"MR","ISO2Alpha","native"
23107,"MS","ISO2Alpha","native"
23107,"MX","ISO2Alpha","native"
23107,"NA","ISO2Alpha","native"
23107,"NG","ISO2Alpha","native"
23107,"NI","ISO2Alpha","native"
23107,"PA","ISO2Alpha","native"
23107,"PR","ISO2Alpha","native"
23107,"SH","ISO2Alpha","native"
23107,"SL","ISO2Alpha","native"
23107,"SN","ISO2Alpha","native"
23107,"SR","ISO2Alpha","native"
23107,"ST","ISO2Alpha","native"
23107,"TC","ISO2Alpha","native"
23107,"TG","ISO2Alpha","native"
23107,"TT","ISO2Alpha","native"
23107,"US","ISO2Alpha","native"
23107,"VC","ISO2Alpha","native"
23107,"VE","ISO2Alpha","native"
23107,"VG","ISO2Alpha","native"
23107,"VI","ISO2Alpha","native"
23107,"ZA","ISO2Alpha","native"
23192,"AE","ISO2Alpha","native"
23192,"AG","ISO2Alpha","native"
23192,"AI","ISO2Alpha","native"
23192,"AL","ISO2Alpha","native"
23192,"AO","ISO2Alpha","native"
23192,"AR","ISO2Alpha","native"
23192,"AU","ISO2Alpha","native"
23192,"AW","ISO2Alpha","native"
23192,"BA","ISO2Alpha","native"
23192,"BB","ISO2Alpha","native"
23192,"BD","ISO2Alpha","native"
23192,"BG","ISO2Alpha","native"
23192,"BH","ISO2Alpha","native"
23192,"BJ","ISO2Alpha","native"
23192,"BM","ISO2Alpha","native"
23192,"BR","ISO2Alpha","native"
23192,"BS","ISO2Alpha","native"
23192,"BZ","ISO2Alpha","native"
23192,"CA","ISO2Alpha","native"
23192,"CD","ISO2Alpha","native"
23192,"CG","ISO2Alpha","native"
23192,"CI","ISO2Alpha","native"
23192,"CK","ISO2Alpha","native"
23192,"CM","ISO2Alpha","native"
23192,"CN","ISO2Alpha","native"
23192,"CO","ISO2Alpha","native"
23192,"CR","ISO2Alpha","native"
23192,"CS","ISO2Alpha","native"
23192,"CU","ISO2Alpha","native"
23192,"CV","ISO2Alpha","native"
23192,"CY","ISO2Alpha","native"
23192,"DJ","ISO2Alpha","native"
23192,"DM","ISO2Alpha","native"
23192,"DO","ISO2Alpha","native"
23192,"DZ","ISO2Alpha","native"
23192,"EC","ISO2Alpha","native"
23192,"EG","ISO2Alpha","native"
23192,"ER","ISO2Alpha","native"
23192,"ES","ISO2Alpha","native"
23192,"FJ","ISO2Alpha","native"
23192,"FM","ISO2Alpha","native"
23192,"FR","ISO2Alpha","native"
23192,"GA","ISO2Alpha","native"
23192,"GB","ISO2Alpha","native"
23192,"GD","ISO2Alpha","native"
23192,"GF","ISO2Alpha","native"
23192,"GH","ISO2Alpha","native"
23192,"GM","ISO2Alpha","native"
23192,"GN","ISO2Alpha","native"
23192,"GP","ISO2Alpha","native"
23192,"GQ","ISO2Alpha","native"
23192,"GR","ISO2Alpha","native"
23192,"GT","ISO2Alpha","native"
23192,"GU","ISO2Alpha","native"
23192,"GW","ISO2Alpha","native"
23192,"GY","ISO2Alpha","native"
23192,"HK","ISO2Alpha","native"
23192,"HN","ISO2Alpha","native"
23192,"HR","ISO2Alpha","native"
23192,"HT","ISO2Alpha","native"
23192,"ID","ISO2Alpha","native"
23192,"IL","ISO2Alpha","native"
23192,"IN","ISO2Alpha","native"
23192,"IQ","ISO2Alpha","native"
23192,"IR","ISO2Alpha","native"
23192,"IT","ISO2Alpha","native"
23192,"JM","ISO2Alpha","native"
23192,"JO","ISO2Alpha","native"
23192,"JP","ISO2Alpha","native"
23192,"KE","ISO2Alpha","native"
23192,"KH","ISO2Alpha","native"
23192,"KI","ISO2Alpha","native"
23192,"KM","ISO2Alpha","native"
23192,"KN","ISO2Alpha","native"
23192,"KR","ISO2Alpha","native"
23192,"KW","ISO2Alpha","native"
23192,"KY","ISO2Alpha","native"
23192,"LB","ISO2Alpha","native"
23192,"LC","ISO2Alpha","native"
23192,"LK","ISO2Alpha","native"
23192,"LR","ISO2Alpha","native"
23192,"LY","ISO2Alpha","native"
23192,"MA","ISO2Alpha","native"
23192,"MC","ISO2Alpha","native"
23192,"MG","ISO2Alpha","native"
23192,"MH","ISO2Alpha","native"
23192,"MM","ISO2Alpha","native"
23192,"MP","ISO2Alpha","native"
23192,"MQ","ISO2Alpha","native"
23192,"MR","ISO2Alpha","native"
23192,"MS","ISO2Alpha","native"
23192,"MT","ISO2Alpha","native"
23192,"MU","ISO2Alpha","native"
23192,"MV","ISO2Alpha","native"
23192,"MX","ISO2Alpha","native"
23192,"MY","ISO2Alpha","native"
23192,"MZ","ISO2Alpha","native"
23192,"NA","ISO2Alpha","native"
23192,"NC","ISO2Alpha","native"
23192,"NG","ISO2Alpha","native"
23192,"NI","ISO2Alpha","native"
23192,"NO","ISO2Alpha","native"
23192,"NZ","ISO2Alpha","native"
23192,"OM","ISO2Alpha","native"
23192,"PA","ISO2Alpha","native"
23192,"PE","ISO2Alpha","native"
23192,"PF","ISO2Alpha","native"
23192,"PG","ISO2Alpha","native"
23192,"PH","ISO2Alpha","native"
23192,"PK","ISO2Alpha","native"
23192,"PR","ISO2Alpha","native"
23192,"PT","ISO2Alpha","native"
23192,"PW","ISO2Alpha","native"
23192,"QA","ISO2Alpha","native"
23192,"RE","ISO2Alpha","native"
23192,"SA","ISO2Alpha","native"
23192,"SB","ISO2Alpha","native"
23192,"SC","ISO2Alpha","native"
23192,"SD","ISO2Alpha","native"
23192,"SE","ISO2Alpha","native"
23192,"SH","ISO2Alpha","native"
23192,"SI","ISO2Alpha","native"
23192,"SL","ISO2Alpha","native"
23192,"SN","ISO2Alpha","native"
23192,"SO","ISO2Alpha","native"
23192,"SR","ISO2Alpha","native"
23192,"SV","ISO2Alpha","native"
23192,"SY","ISO2Alpha","native"
23192,"TG","ISO2Alpha","native"
23192,"TH","ISO2Alpha","native"
23192,"TK","ISO2Alpha","native"
23192,"TN","ISO2Alpha","native"
23192,"TO","ISO2Alpha","native"
23192,"TR","ISO2Alpha","native"
23192,"TT","ISO2Alpha","native"
23192,"TV","ISO2Alpha","native"
23192,"TW","ISO2Alpha","native"
23192,"TZ","ISO2Alpha","native"
23192,"UA","ISO2Alpha","native"
23192,"US","ISO2Alpha","native"
23192,"UY","ISO2Alpha","native"
23192,"VC","ISO2Alpha","native"
23192,"VE","ISO2Alpha","native"
23192,"VG","ISO2Alpha","native"
23192,"VN","ISO2Alpha","native"
23192,"VU","ISO2Alpha","native"
23192,"WS","ISO2Alpha","native"
23192,"YE","ISO2Alpha","native"
23192,"ZA","ISO2Alpha","native"
23222,"AG","ISO2Alpha","native"
23222,"AI","ISO2Alpha","native"
23222,"AL","ISO2Alpha","native"
23222,"AN","ISO2Alpha","native"
23222,"AO","ISO2Alpha","native"
23222,"AR","ISO2Alpha","native"
23222,"AS","ISO2Alpha","native"
23222,"AU","ISO2Alpha","native"
23222,"AW","ISO2Alpha","native"
23222,"BA","ISO2Alpha","native"
23222,"BB","ISO2Alpha","native"
23222,"BD","ISO2Alpha","native"
23222,"BJ","ISO2Alpha","native"
23222,"BM","ISO2Alpha","native"
23222,"BN","ISO2Alpha","native"
23222,"BR","ISO2Alpha","native"
23222,"BS","ISO2Alpha","native"
23222,"BZ","ISO2Alpha","native"
23222,"CA","ISO2Alpha","native"
23222,"CD","ISO2Alpha","native"
23222,"CG","ISO2Alpha","native"
23222,"CI","ISO2Alpha","native"
23222,"CK","ISO2Alpha","native"
23222,"CL","ISO2Alpha","native"
23222,"CM","ISO2Alpha","native"
23222,"CN","ISO2Alpha","native"
23222,"CO","ISO2Alpha","native"
23222,"CR","ISO2Alpha","native"
23222,"CS","ISO2Alpha","native"
23222,"CU","ISO2Alpha","native"
23222,"CV","ISO2Alpha","native"
23222,"CY","ISO2Alpha","native"
23222,"DE","ISO2Alpha","questionable"
23222,"DK","ISO2Alpha","native"
23222,"DM","ISO2Alpha","native"
23222,"DO","ISO2Alpha","native"
23222,"DZ","ISO2Alpha","native"
23222,"EC","ISO2Alpha","native"
23222,"EG","ISO2Alpha","native"
23222,"EH","ISO2Alpha","native"
23222,"ES","ISO2Alpha","native"
23222,"FJ","ISO2Alpha","native"
23222,"FM","ISO2Alpha","native"
23222,"FR","ISO2Alpha","native"
23222,"GA","ISO2Alpha","native"
23222,"GB","ISO2Alpha","native"
23222,"GD","ISO2Alpha","native"
23222,"GF","ISO2Alpha","native"
23222,"GH","ISO2Alpha","native"
23222,"GM","ISO2Alpha","native"
23222,"GN","ISO2Alpha","native"
23222,"GP","ISO2Alpha","native"
23222,"GQ","ISO2Alpha","native"
23222,"GR","ISO2Alpha","native"
23222,"GT","ISO2Alpha","native"
23222,"GU","ISO2Alpha","native"
23222,"GW","ISO2Alpha","native"
23222,"GY","ISO2Alpha","native"
23222,"HK","ISO2Alpha","native"
23222,"HN","ISO2Alpha","native"
23222,"HR","ISO2Alpha","native"
23222,"HT","ISO2Alpha","native"
23222,"ID","ISO2Alpha","native"
23222,"IE","ISO2Alpha","native"
23222,"IL","ISO2Alpha","native"
23222,"IM","ISO2Alpha","native"
23222,"IN","ISO2Alpha","native"
23222,"IR","ISO2Alpha","native"
23222,"IT","ISO2Alpha","native"
23222,"JM","ISO2Alpha","native"
23222,"JP","ISO2Alpha","native"
23222,"KE","ISO2Alpha","native"
23222,"KH","ISO2Alpha","native"
23222,"KI","ISO2Alpha","native"
23222,"KM","ISO2Alpha","native"
23222,"KN","ISO2Alpha","native"
23222,"KR","ISO2Alpha","native"
23222,"KY","ISO2Alpha","native"
23222,"LB","ISO2Alpha","native"
23222,"LC","ISO2Alpha","native"
23222,"LK","ISO2Alpha","native"
23222,"LR","ISO2Alpha","native"
23222,"LY","ISO2Alpha","native"
23222,"MA","ISO2Alpha","native"
23222,"MC","ISO2Alpha","native"
23222,"MG","ISO2Alpha","native"
23222,"MH","ISO2Alpha","native"
23222,"MM","ISO2Alpha","native"
23222,"MO","ISO2Alpha","native"
23222,"MP","ISO2Alpha","native"
23222,"MQ","ISO2Alpha","native"
23222,"MR","ISO2Alpha","native"
23222,"MS","ISO2Alpha","native"
23222,"MT","ISO2Alpha","native"
